metric,parameter,S1,S1_conf,ST,ST_conf
corr__NESTOR - BES,substrate_threshold,-0.02992855055387754,0.055994565644804706,0.007122714387739285,0.012006652448640341
corr__NESTOR - BES,substrate_alpha,-0.013321354582352361,0.03574240274488428,0.0034194481587690798,0.008090102689082083
corr__NESTOR - BES,f_arch_bay,-0.0006927064073063711,0.0019140886533821743,1.4059468669439041e-05,1.3007149723177291e-05
corr__NESTOR - BES,T_ref_c,-1.6866197601313115e-16,2.6386110598682265e-16,1.9433383785269296e-31,2.2126064139098726e-31
corr__NESTOR - BES,baseline_scale,-1.1637464035579131e-16,2.0902721647366147e-16,1.098625259077061e-31,1.1814865602401803e-31
corr__SAN YSIDRO,diel_phase_hours,0.5595291109517367,0.5818501148305977,0.8462062888787879,0.5824410038660423
corr__SAN YSIDRO,diel_amplitude,-0.03083306158315379,0.42588525714293685,0.28696570546757627,0.44003833555640665
corr__SAN YSIDRO,Q10,0.03160947339346367,0.13014086159662436,0.032178578310075784,0.015313734802010068
corr__SAN YSIDRO,f_arch_channel,0.06682246115567567,0.12004685866958392,0.0278167842907467,0.03265383913426677
corr__SAN YSIDRO,substrate_threshold,0.02639467442026565,0.040429841037374,0.0032011164837594057,0.002915797675187591
corr__SAN YSIDRO,f_arch_drain,-0.015213718173032797,0.03242444353593153,0.0019406189159594986,0.0014174374840016939
corr__SAN YSIDRO,f_arch_estuary,0.007678853720978451,0.021026726668351228,0.0006204486850191023,0.0004435588701854712
corr__SAN YSIDRO,substrate_alpha,5.881101163741939e-05,0.005853078440485649,0.0005585041602072176,0.0013391298707513873
corr__SAN YSIDRO,f_arch_bay,0.0005185544576803955,0.0015253774119771328,3.4474007642688775e-06,2.0876802847475015e-06
corr__SAN YSIDRO,baseline_scale,4.279832539205665e-17,4.519164271711035e-16,2.501137376021173e-31,1.7068194002485593e-31
corr__SAN YSIDRO,T_ref_c,1.1240471286428746e-16,3.614571947855728e-16,2.1277574445969597e-31,1.4498512344666733e-31
peak_ratio__IB CIVIC CTR,baseline_scale,-0.07952430287995894,0.37149298351098425,0.08203236695291524,0.8841605073684545
peak_ratio__IB CIVIC CTR,substrate_threshold,-0.045367724716934225,0.21046476488496962,0.044217519635682,0.3667586121560707
peak_ratio__IB CIVIC CTR,diel_amplitude,0.2661261870577899,0.3069486452205566,0.03164438996440505,0.094155490032926
peak_ratio__IB CIVIC CTR,substrate_alpha,0.13747960330398865,0.17284013371101653,0.018461653453616136,0.09119438158243165
peak_ratio__IB CIVIC CTR,f_arch_estuary,0.05814181263661463,0.18815666403499012,0.013237090453779996,0.15476465503994835
peak_ratio__IB CIVIC CTR,T_ref_c,0.07445969508348586,0.14895888124619625,0.012002061454640953,0.09236959238513197
peak_ratio__IB CIVIC CTR,diel_phase_hours,0.09409834005657752,0.12229580501924654,0.01034585890606111,0.08114169526974604
peak_ratio__IB CIVIC CTR,f_arch_drain,0.0016150216087682365,0.0613066257668214,0.003857956257115821,0.03470439405077921
peak_ratio__IB CIVIC CTR,Q10,0.09612504888441227,0.0689032518071602,0.003380494824107207,0.006892498240933551
peak_ratio__IB CIVIC CTR,f_arch_channel,-0.001687916368218718,0.01579789825579792,0.000770947697003337,0.006163767247857676
peak_ratio__IB CIVIC CTR,f_arch_bay,2.7879713575934536e-05,0.00020783363886206808,1.1232514904915979e-07,1.0942990590077513e-06
peak_ratio__NESTOR - BES,diel_amplitude,0.6376498871782833,1.138814658639349,0.4346419660442662,0.6328992636510294
