metric,parameter,S1,S1_conf,ST,ST_conf
peak_ratio__NESTOR - BES,f_arch_drain,-0.13521721055110886,0.4241994329765786,0.057989651539849314,0.0600645171017602
peak_ratio__NESTOR - BES,f_arch_channel,-0.04959543318626908,0.06319501173532761,0.007364347809657292,0.004918918968478204
peak_ratio__NESTOR - BES,f_arch_estuary,0.013445475469727733,0.10554961535902858,0.00387766742177033,0.02415873301197394
peak_ratio__NESTOR - BES,f_arch_bay,0.0013927896861134924,0.0020058495121519854,2.153025774489714e-06,2.2790709167366737e-06
rms__IB CIVIC CTR,baseline_scale,-0.09596660307925352,0.5046362428238199,0.09741221220854099,1.1976638828502109
rms__IB CIVIC CTR,Q10,0.05785159737079889,0.06555792424898313,0.0025613432743496747,0.012327465300975275
rms__IB CIVIC CTR,T_ref_c,0.08916229978274678,0.21682431230373314,0.01569795660643039,0.10926696213052271
rms__IB CIVIC CTR,substrate_alpha,0.16621244211995204,0.18989523670722455,0.024708472726522334,0.09070431117010537
rms__IB CIVIC CTR,substrate_threshold,-0.06138641041642671,0.1909581250335014,0.05364787102353231,0.2825192313298852
rms__IB CIVIC CTR,diel_amplitude,0.35991389359208886,0.41368952288710037,0.05812581354770708,0.08062189556194284
rms__IB CIVIC CTR,diel_phase_hours,0.04829954261041984,0.09931072338704545,0.003936034323362196,0.037884027890932793
rms__IB CIVIC CTR,f_arch_drain,-0.049963995270683306,0.08976517464748779,0.004252221205149635,0.016542341761985827
rms__IB CIVIC CTR,f_arch_channel,-0.016978285335366185,0.020933450606893923,0.0010208792400208133,0.00468007642257856
rms__IB CIVIC CTR,f_arch_estuary,0.047452743300120365,0.22637382898751865,0.01381274229811218,0.15923404394727778
rms__IB CIVIC CTR,f_arch_bay,0.0004759698494364779,0.00020132183891992842,1.4697974227285777e-07,8.433594455536162e-07
corr__IB CIVIC CTR,baseline_scale,6.066187874043737e-18,1.6056198123459414e-16,7.151084862769676e-32,6.52495468171087e-32
corr__IB CIVIC CTR,Q10,0.07648768834770904,0.07658364503504726,0.00962089687982695,0.009987110500465197
corr__IB CIVIC CTR,T_ref_c,6.64920537835404e-17,1.978253761069519e-16,1.8377722048384338e-31,1.9168495900675764e-31
corr__IB CIVIC CTR,substrate_alpha,-0.0032101313920784055,0.006775154388651342,0.00010085351600935191,0.00012379957117823967
corr__IB CIVIC CTR,substrate_threshold,-0.018580331040134825,0.01997543549304056,0.0019039801868923052,0.0019265316347507433
corr__IB CIVIC CTR,diel_amplitude,-0.04072186431277439,0.29102968363937787,0.061683187104850906,0.0897298387548618
corr__IB CIVIC CTR,diel_phase_hours,0.619012608263975,0.3391562490871776,0.37411421916929605,0.245645229021316
corr__IB CIVIC CTR,f_arch_drain,0.29558046045777814,0.22132787206632834,0.08689885326748174,0.061435959352220175
corr__IB CIVIC CTR,f_arch_channel,0.04684965510116384,0.08685863248211655,0.00954964934647756,0.015091709076611021
corr__IB CIVIC CTR,f_arch_estuary,0.2885582741927812,0.31888077894308514,0.23073538763004117,0.17630610733570234
corr__IB CIVIC CTR,f_arch_bay,-0.0010039937161763505,0.001730629077386614,3.486395984034422e-06,2.1951526960946764e-06
peak_ratio__IB CIVIC CTR,baseline_scale,-0.07952430287995894,0.4965686302129447,0.08203236695291515,0.9676383458443507
peak_ratio__IB CIVIC CTR,Q10,0.0961250488844123,0.09056841473126356,0.0033804948241072078,0.008755843186539892
peak_ratio__IB CIVIC CTR,T_ref_c,0.07445969508348581,0.1902742885932749,0.012002061454640943,0.12055566418322122
peak_ratio__IB CIVIC CTR,substrate_alpha,0.13747960330398867,0.18273147277580548,0.01846165345361613,0.10786481954455292
peak_ratio__IB CIVIC CTR,substrate_threshold,-0.04536772471693427,0.2204273571938044,0.044217519635681934,0.41915590971999905
peak_ratio__IB CIVIC CTR,diel_amplitude,0.26612618705778945,0.30648233451269496,0.03164438996440497,0.143090146512833
peak_ratio__IB CIVIC CTR,diel_phase_hours,0.09409834005657752,0.12668329689144023,0.010345858906061106,0.1084549421099741
peak_ratio__IB CIVIC CTR,f_arch_drain,0.0016150216087682306,0.08696256284959072,0.003857956257115818,0.042047135495602066
peak_ratio__IB CIVIC CTR,f_arch_channel,-0.0016879163682187155,0.015342563081420822,0.0007709476970033359,0.005861309882835616
peak_ratio__IB CIVIC CTR,f_arch_estuary,0.05814181263661448,0.2634209570172318,0.013237090453779993,0.18319410203505032
peak_ratio__IB CIVIC CTR,f_arch_bay,2.787971357593329e-05,0.000319778418946649,1.1232514904915829e-07,9.379709326639709e-07
