parameter,metric,pearson_r,abs_r
diel_phase_hours,corr_NESTOR - BES,-0.009724446805642774,0.009724446805642774
diel_phase_hours,peak_ratio_NESTOR - BES,0.13121504286361688,0.13121504286361688
diel_phase_hours,rms_IB CIVIC CTR,0.036991810902374994,0.036991810902374994
diel_phase_hours,corr_IB CIVIC CTR,-0.23736471744483278,0.23736471744483278
diel_phase_hours,peak_ratio_IB CIVIC CTR,0.05880495270850521,0.05880495270850521
f_arch_drain,rms_SAN YSIDRO,0.30008536130339664,0.30008536130339664
f_arch_drain,corr_SAN YSIDRO,-0.06668365430640893,0.06668365430640893
f_arch_drain,peak_ratio_SAN YSIDRO,0.3141601505622294,0.3141601505622294
f_arch_drain,rms_NESTOR - BES,0.1752479159353909,0.1752479159353909
f_arch_drain,corr_NESTOR - BES,0.18503551732371087,0.18503551732371087
f_arch_drain,peak_ratio_NESTOR - BES,0.2288708178921772,0.2288708178921772
f_arch_drain,rms_IB CIVIC CTR,0.02540532257206428,0.02540532257206428
f_arch_drain,corr_IB CIVIC CTR,0.3019386495330002,0.3019386495330002
f_arch_drain,peak_ratio_IB CIVIC CTR,0.012083821934679339,0.012083821934679339
f_arch_channel,rms_SAN YSIDRO,0.10109974076606347,0.10109974076606347
f_arch_channel,corr_SAN YSIDRO,-0.08155096062488633,0.08155096062488633
f_arch_channel,peak_ratio_SAN YSIDRO,0.06881037595635574,0.06881037595635574
f_arch_channel,rms_NESTOR - BES,0.14735492650714085,0.14735492650714085
f_arch_channel,corr_NESTOR - BES,0.3185857208957267,0.3185857208957267
f_arch_channel,peak_ratio_NESTOR - BES,0.11991937453860492,0.11991937453860492
f_arch_channel,rms_IB CIVIC CTR,0.04100199330953271,0.04100199330953271
f_arch_channel,corr_IB CIVIC CTR,-0.12509907961295832,0.12509907961295832
f_arch_channel,peak_ratio_IB CIVIC CTR,0.03703259248252958,0.03703259248252958
f_arch_estuary,rms_SAN YSIDRO,0.03486176665916899,0.03486176665916899
f_arch_estuary,corr_SAN YSIDRO,-0.015116752596103011,0.015116752596103011
f_arch_estuary,peak_ratio_SAN YSIDRO,0.038941717633562516,0.038941717633562516
f_arch_estuary,rms_NESTOR - BES,0.15475556476736807,0.15475556476736807
f_arch_estuary,corr_NESTOR - BES,-0.6350313814697406,0.6350313814697406
f_arch_estuary,peak_ratio_NESTOR - BES,0.05482678023462652,0.05482678023462652
f_arch_estuary,rms_IB CIVIC CTR,0.41200075617017623,0.41200075617017623
f_arch_estuary,corr_IB CIVIC CTR,-0.34621688137471696,0.34621688137471696
f_arch_estuary,peak_ratio_IB CIVIC CTR,0.42154186319942333,0.42154186319942333
f_arch_bay,rms_SAN YSIDRO,-0.09756397555337919,0.09756397555337919
f_arch_bay,corr_SAN YSIDRO,0.0138410845448481,0.0138410845448481
f_arch_bay,peak_ratio_SAN YSIDRO,-0.09051530824284595,0.09051530824284595
f_arch_bay,rms_NESTOR - BES,-0.06415381907732175,0.06415381907732175
f_arch_bay,corr_NESTOR - BES,-0.011839660712630002,0.011839660712630002
f_arch_bay,peak_ratio_NESTOR - BES,-0.055740994504161825,0.055740994504161825
f_arch_bay,rms_IB CIVIC CTR,-0.04963038404500622,0.04963038404500622
f_arch_bay,corr_IB CIVIC CTR,-0.03671980793038621,0.03671980793038621
f_arch_bay,peak_ratio_IB CIVIC CTR,-0.050826226668676984,0.050826226668676984
