hour,obs_SAN YSIDRO,obs_NESTOR - BES,obs_IB CIVIC CTR,pred_seed_SAN YSIDRO,pred_seed_NESTOR - BES,pred_seed_IB CIVIC CTR,pred_fit_SAN YSIDRO,pred_fit_NESTOR - BES,pred_fit_IB CIVIC CTR
2026-03-13 19:00:00-07:00,2.6,57.6,2.6,1.5770109482428544e-169,1.654409355860346,1.922699535136634,4.06084378032006e-170,30.234516810307323,12.558414049241406
2026-03-13 20:00:00-07:00,4.2,32.8,26.1,0.0,3.1736353167313902e-12,1.3257176339081462e-09,0.0,1.425302309034891e-12,4.098974237329216e-08
2026-03-13 21:00:00-07:00,10.4,11.1,7.2,0.0,2.0102102815314551e-28,8.734887987890662e-23,0.0,5.180385385240827e-29,3.481230483057832e-21
2026-03-13 22:00:00-07:00,12.1,5.2,2.5,6.949229031272885e-33,0.5998394097423607,0.6093847658258965,1.789444361252357e-33,1.8927744474486614,5.383733785555249
2026-03-13 23:00:00-07:00,25.9,33.0,2.3,9.085755231077562e-15,1.238075504604872,0.6112594861607906,2.3396053566236826e-15,4.407904954123177,29.61941483063391
2026-03-14 00:00:00-07:00,8.0,49.8,7.6,8.12042397e-316,0.36813492133250303,1.0277426724518643,2.09103003e-316,4.114459315709182,14.797777490824766
2026-03-14 01:00:00-07:00,11.0,24.9,9.8,1.9228958691833814e-57,0.2635663806091877,0.3171118798143703,4.951506354015478e-58,4.458172943499566,3.688019124528891
2026-03-14 02:00:00-07:00,2.8,103.7,5.3,2.8349881676194e-17,0.4511075427270947,0.2920764717477739,7.300167497623056e-18,1.6951328986008338,6.301262158638071
2026-03-14 03:00:00-07:00,4.8,4.5,3.4,1.7931663658295065,0.2974734511946938,0.47558042898906716,3.792583769073893,40.81838533863248,5.5861559731402655e-06
2026-03-14 04:00:00-07:00,3.8,3.9,2.0,1.175345599501176,0.0018440060509027337,0.02326769562185701,9.495751154576254,0.3682019677590421,0.21737465303917583
2026-03-14 05:00:00-07:00,3.2,3.2,0.5,0.38010102672093204,0.00879707166045672,1.3897943926908847,0.5834856094805404,2.9790849553494465e-10,12.984975584788366
2026-03-14 06:00:00-07:00,2.7,1.4,0.3,0.7425996241841223,0.00010835704368402868,0.07329700394829879,5.931420792029898,0.021634670377794554,0.6848203204881015
2026-03-14 07:00:00-07:00,2.7,1.2,0.6,0.583384609485078,3.825463330604371e-05,0.0842714562353691,4.4682741747372665,0.007634485730710439,0.7873558296605897
2026-03-14 08:00:00-07:00,2.9,1.0,0.5,0.22919315773317572,0.004761831840040907,0.8453962181661602,0.3478228209686806,2.4656119036458265e-10,7.898613859785222
2026-03-14 09:00:00-07:00,2.4,1.1,0.5,0.5903896348726739,6.760791682892103e-06,0.4552518313574223,2.8429971136564944,5.6204500339640656e-05,4.253459321856316
2026-03-14 10:00:00-07:00,3.8,1.4,1.3,1.3540785122038481,0.019586329219047623,0.000871968934605105,8.790944374311767,3.9109010789905456,0.006960529165385243
2026-03-14 11:00:00-07:00,5.3,1.9,1.3,1.65206248033299,0.022011742755851157,0.0012548247791780134,10.82788733836115,4.39519564695506,0.010505620363714606
